"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2022","Male","20 years","Sligo","Number","427"
"Population","2022","Male","20 years","Tipperary","Number","970"
"Population","2022","Male","20 years","Waterford City and County","Number","794"
"Population","2022","Male","20 years","Westmeath","Number","562"
"Population","2022","Male","20 years","Wicklow","Number","908"
"Population","2022","Male","20 years","Wexford","Number","932"
"Population","2022","Male","21 years","State","Number","30771"
"Population","2022","Male","21 years","Cork City and Cork County","Number","3538"
"Population","2022","Male","21 years","Clare","Number","655"
"Population","2022","Male","21 years","Cavan","Number","442"
"Population","2022","Male","21 years","Carlow","Number","432"
"Population","2022","Male","21 years","Dublin City","Number","3903"
"Population","2022","Male","21 years","Donegal","Number","887"
"Population","2022","Male","21 years","Dún Laoghaire-Rathdown","Number","1480"
"Population","2022","Male","21 years","Fingal","Number","1959"
"Population","2022","Male","21 years","Galway City","Number","923"
"Population","2022","Male","21 years","Galway County","Number","1010"
"Population","2022","Male","21 years","Kildare","Number","1587"
"Population","2022","Male","21 years","Kilkenny","Number","574"
"Population","2022","Male","21 years","Kerry","Number","756"
"Population","2022","Male","21 years","Longford","Number","274"
"Population","2022","Male","21 years","Louth","Number","897"
"Population","2022","Male","21 years","Limerick City and County","Number","1343"
"Population","2022","Male","21 years","Leitrim","Number","146"
"Population","2022","Male","21 years","Laois","Number","534"
"Population","2022","Male","21 years","Meath","Number","1330"
"Population","2022","Male","21 years","Monaghan","Number","351"
"Population","2022","Male","21 years","Mayo","Number","629"
"Population","2022","Male","21 years","Offaly","Number","466"
"Population","2022","Male","21 years","Roscommon","Number","343"
"Population","2022","Male","21 years","South Dublin","Number","1900"
"Population","2022","Male","21 years","Sligo","Number","449"
"Population","2022","Male","21 years","Tipperary","Number","939"
"Population","2022","Male","21 years","Waterford City and County","Number","772"
"Population","2022","Male","21 years","Westmeath","Number","572"
"Population","2022","Male","21 years","Wicklow","Number","879"
"Population","2022","Male","21 years","Wexford","Number","801"
"Population","2022","Male","22 years","State","Number","31450"
"Population","2022","Male","22 years","Cork City and Cork County","Number","3674"
"Population","2022","Male","22 years","Clare","Number","775"
"Population","2022","Male","22 years","Cavan","Number","441"
"Population","2022","Male","22 years","Carlow","Number","408"
"Population","2022","Male","22 years","Dublin City","Number","4372"
"Population","2022","Male","22 years","Donegal","Number","870"
"Population","2022","Male","22 years","Dún Laoghaire-Rathdown","Number","1607"
"Population","2022","Male","22 years","Fingal","Number","1983"
"Population","2022","Male","22 years","Galway City","Number","895"
"Population","2022","Male","22 years","Galway County","Number","928"
"Population","2022","Male","22 years","Kildare","Number","1510"
"Population","2022","Male","22 years","Kilkenny","Number","555"
"Population","2022","Male","22 years","Kerry","Number","790"
"Population","2022","Male","22 years","Longford","Number","259"
"Population","2022","Male","22 years","Louth","Number","852"
"Population","2022","Male","22 years","Limerick City and County","Number","1478"
"Population","2022","Male","22 years","Leitrim","Number","170"
"Population","2022","Male","22 years","Laois","Number","517"
"Population","2022","Male","22 years","Meath","Number","1314"
"Population","2022","Male","22 years","Monaghan","Number","352"
"Population","2022","Male","22 years","Mayo","Number","624"
"Population","2022","Male","22 years","Offaly","Number","502"
"Population","2022","Male","22 years","Roscommon","Number","347"
"Population","2022","Male","22 years","South Dublin","Number","1873"
"Population","2022","Male","22 years","Sligo","Number","411"
"Population","2022","Male","22 years","Tipperary","Number","909"
"Population","2022","Male","22 years","Waterford City and County","Number","751"
"Population","2022","Male","22 years","Westmeath","Number","535"
"Population","2022","Male","22 years","Wicklow","Number","870"
"Population","2022","Male","22 years","Wexford","Number","878"
"Population","2022","Male","23 years","State","Number","30871"
"Population","2022","Male","23 years","Cork City and Cork County","Number","3506"
"Population","2022","Male","23 years","Clare","Number","632"
"Population","2022","Male","23 years","Cavan","Number","436"
"Population","2022","Male","23 years","Carlow","Number","376"
"Population","2022","Male","23 years","Dublin City","Number","4839"
"Population","2022","Male","23 years","Donegal","Number","809"
"Population","2022","Male","23 years","Dún Laoghaire-Rathdown","Number","1566"
"Population","2022","Male","23 years","Fingal","Number","1926"
"Population","2022","Male","23 years","Galway City","Number","795"
"Population","2022","Male","23 years","Galway County","Number","907"
"Population","2022","Male","23 years","Kildare","Number","1469"
"Population","2022","Male","23 years","Kilkenny","Number","523"
"Population","2022","Male","23 years","Kerry","Number","834"
"Population","2022","Male","23 years","Longford","Number","266"
"Population","2022","Male","23 years","Louth","Number","812"
"Population","2022","Male","23 years","Limerick City and County","Number","1351"
"Population","2022","Male","23 years","Leitrim","Number","177"
"Population","2022","Male","23 years","Laois","Number","503"
"Population","2022","Male","23 years","Meath","Number","1257"
"Population","2022","Male","23 years","Monaghan","Number","360"
"Population","2022","Male","23 years","Mayo","Number","619"
"Population","2022","Male","23 years","Offaly","Number","453"
"Population","2022","Male","23 years","Roscommon","Number","336"
"Population","2022","Male","23 years","South Dublin","Number","1899"
"Population","2022","Male","23 years","Sligo","Number","365"
"Population","2022","Male","23 years","Tipperary","Number","866"
"Population","2022","Male","23 years","Waterford City and County","Number","740"
"Population","2022","Male","23 years","Westmeath","Number","584"
"Population","2022","Male","23 years","Wicklow","Number","811"
"Population","2022","Male","23 years","Wexford","Number","854"
"Population","2022","Male","24 years","State","Number","30234"
"Population","2022","Male","24 years","Cork City and Cork County","Number","3391"
"Population","2022","Male","24 years","Clare","Number","649"
"Population","2022","Male","24 years","Cavan","Number","429"
"Population","2022","Male","24 years","Carlow","Number","340"
"Population","2022","Male","24 years","Dublin City","Number","5137"
"Population","2022","Male","24 years","Donegal","Number","821"
"Population","2022","Male","24 years","Dún Laoghaire-Rathdown","Number","1508"
"Population","2022","Male","24 years","Fingal","Number","1818"
"Population","2022","Male","24 years","Galway City","Number","855"
"Population","2022","Male","24 years","Galway County","Number","899"
"Population","2022","Male","24 years","Kildare","Number","1340"
"Population","2022","Male","24 years","Kilkenny","Number","526"
"Population","2022","Male","24 years","Kerry","Number","750"
"Population","2022","Male","24 years","Longford","Number","239"
"Population","2022","Male","24 years","Louth","Number","737"
"Population","2022","Male","24 years","Limerick City and County","Number","1355"
"Population","2022","Male","24 years","Leitrim","Number","147"
"Population","2022","Male","24 years","Laois","Number","471"
"Population","2022","Male","24 years","Meath","Number","1170"
"Population","2022","Male","24 years","Monaghan","Number","376"
"Population","2022","Male","24 years","Mayo","Number","644"
"Population","2022","Male","24 years","Offaly","Number","437"
"Population","2022","Male","24 years","Roscommon","Number","285"
"Population","2022","Male","24 years","South Dublin","Number","1855"
"Population","2022","Male","24 years","Sligo","Number","373"
"Population","2022","Male","24 years","Tipperary","Number","842"
"Population","2022","Male","24 years","Waterford City and County","Number","711"
"Population","2022","Male","24 years","Westmeath","Number","567"
"Population","2022","Male","24 years","Wicklow","Number","725"
"Population","2022","Male","24 years","Wexford","Number","837"
"Population","2022","Male","25 years","State","Number","29969"
"Population","2022","Male","25 years","Cork City and Cork County","Number","3369"
"Population","2022","Male","25 years","Clare","Number","627"
"Population","2022","Male","25 years","Cavan","Number","438"
"Population","2022","Male","25 years","Carlow","Number","330"
"Population","2022","Male","25 years","Dublin City","Number","5634"
"Population","2022","Male","25 years","Donegal","Number","757"
"Population","2022","Male","25 years","Dún Laoghaire-Rathdown","Number","1532"
"Population","2022","Male","25 years","Fingal","Number","1831"
"Population","2022","Male","25 years","Galway City","Number","788"
"Population","2022","Male","25 years","Galway County","Number","802"
"Population","2022","Male","25 years","Kildare","Number","1344"
"Population","2022","Male","25 years","Kilkenny","Number","539"
"Population","2022","Male","25 years","Kerry","Number","755"
"Population","2022","Male","25 years","Longford","Number","210"
